Elevation (m),Season,Silt,P,Mg,CEC,BS,B,Fe,Mn,Yield
590.513,Second Ratoon,115.5,9.0,5.0,53.4,51.0,0.7,10.0,2.7,61.164
591.109,Second Ratoon,103.0,10.0,4.0,51.1,43.0,0.82,14.0,9.3,62.008
591.583,Second Ratoon,113.5,6.0,8.0,58.6,49.0,0.66,19.0,10.6,60.946
592.017,Second Ratoon,114.0,6.0,6.0,54.9,45.0,0.64,18.0,13.4,57.719
592.309,Second Ratoon,126.5,36.0,5.0,55.6,46.0,0.76,19.0,14.3,60.772
592.563,Second Ratoon,127.5,9.0,10.0,78.5,64.0,0.68,16.0,14.5,55.705
592.731,Second Ratoon,115.5,49.0,12.0,74.8,68.0,1.11,18.0,12.6,55.586
592.822,Second Ratoon,106.0,22.0,8.0,61.8,58.0,0.78,16.0,7.1,60.578
592.885,Second Ratoon,124.5,21.0,6.0,46.8,64.0,0.75,13.0,12.9,58.312
593.262,Second Ratoon,109.5,6.0,6.0,71.1,58.0,0.84,19.0,8.8,62.316
593.649,Second Ratoon,114.5,33.0,10.0,77.3,69.0,0.68,17.0,8.0,59.724
593.844,Second Ratoon,120.0,6.0,8.0,78.5,59.0,0.52,15.0,14.2,58.432
593.759,Second Ratoon,117.5,14.0,6.0,45.1,58.0,0.47,15.0,11.3,59.345
593.471,Second Ratoon,117.5,11.0,11.0,79.8,70.0,0.73,15.0,15.0,55.542
593.058,Second Ratoon,127.5,53.0,7.0,60.6,54.0,0.63,10.0,9.8,56.617
592.439,Second Ratoon,99.5,27.0,8.0,69.9,59.0,0.7,12.0,14.3,59.246
591.112,Second Ratoon,115.5,51.0,9.0,56.1,73.0,0.56,12.0,17.2,52.643
594.679,Second Ratoon,78.5,22.0,6.0,45.7,67.0,0.49,11.0,13.4,59.058
595.44,Second Ratoon,90.5,14.0,3.0,27.8,50.0,0.41,10.0,12.8,62.396
595.257,Second Ratoon,127.5,38.0,3.0,33.3,55.0,0.53,11.0,9.6,61.384
595.77,Second Ratoon,124.0,13.0,6.0,37.8,60.0,0.52,11.0,10.0,60.468
595.311,Second Ratoon,120.0,9.0,6.0,41.5,64.0,0.46,11.0,18.9,57.889
639.3,Second Ratoon,72.0,22.0,5.0,51.0,41.0,0.23,72.0,3.5,96.842
636.5,Second Ratoon,79.0,44.0,8.0,53.9,67.0,0.72,38.0,5.7,97.616
638.9,Second Ratoon,96.5,58.0,12.0,59.5,70.0,0.53,30.0,6.1,95.711
639.2,Second Ratoon,69.0,53.0,9.0,49.6,64.0,0.43,28.0,5.4,90.228
640.2,Second Ratoon,73.0,30.0,11.0,53.9,72.0,0.63,31.0,5.6,97.246
641.3,Second Ratoon,61.5,30.0,9.0,54.8,65.0,0.64,44.0,5.3,101.084
640.5,Second Ratoon,85.5,31.0,11.0,60.5,70.0,0.61,52.0,6.4,90.52
641.3,Second Ratoon,72.0,31.0,13.0,60.8,70.0,0.58,35.0,6.2,102.733
642.3,Second Ratoon,75.0,26.0,8.0,54.6,60.0,0.49,62.0,5.5,104.96
639.4,Second Ratoon,80.0,42.0,10.0,58.8,68.0,1.17,40.0,5.8,99.309
641.6,Second Ratoon,104.0,37.0,14.0,59.0,75.0,0.64,28.0,4.8,95.518
642.8,Second Ratoon,113.5,151.0,10.0,70.2,76.0,0.66,26.0,5.6,99.376
641.3,Second Ratoon,93.0,27.0,9.0,61.1,62.0,0.64,92.0,5.9,98.584
640.2,Second Ratoon,86.0,30.0,9.0,63.8,62.0,0.53,56.0,5.0,91.996
638.2,Second Ratoon,93.0,22.0,12.0,64.8,69.0,0.52,52.0,4.9,95.943
638.2,Second Ratoon,72.5,27.0,10.0,58.6,66.0,0.46,38.0,5.2,90.288
638.2,Second Ratoon,81.0,21.0,7.0,55.4,57.0,0.37,46.0,3.7,91.049
638.1,Second Ratoon,82.5,25.0,7.0,57.6,51.0,0.33,64.0,6.2,85.395
638.2,Second Ratoon,101.5,27.0,7.0,53.7,57.0,0.53,50.0,4.3,79.979
638.7,Second Ratoon,91.0,37.0,8.0,55.5,64.0,0.51,46.0,5.4,77.661
637.2,Second Ratoon,93.0,22.0,8.0,55.6,57.0,0.3,64.0,5.5,79.686
639.3,Second Ratoon,105.0,23.0,11.0,52.9,62.0,0.56,44.0,6.0,81.258
638.0,Second Ratoon,87.5,20.0,8.0,55.7,55.0,0.32,54.0,4.8,80.688
637.5,Second Ratoon,75.5,32.0,8.0,50.6,57.0,0.53,52.0,5.6,78.227
636.5,Second Ratoon,77.5,28.0,9.0,52.6,62.0,0.53,20.0,5.7,76.483
637.4,Second Ratoon,71.5,41.0,9.0,56.6,56.0,0.43,26.0,4.3,67.498
639.3,Second Ratoon,76.5,36.0,8.0,46.5,55.0,0.59,58.0,5.1,79.827
639.7,Second Ratoon,80.0,29.0,7.0,61.6,58.0,0.51,46.0,3.4,93.482
639.7,Second Ratoon,85.5,34.0,10.0,50.6,58.0,0.46,35.0,5.9,85.047
640.5,Second Ratoon,77.0,28.0,7.0,53.5,50.0,0.32,64.0,5.4,89.261
640.7,Second Ratoon,90.5,23.0,9.0,64.6,55.0,0.47,50.0,3.3,91.647
640.5,Second Ratoon,91.0,18.0,9.0,53.9,54.0,0.5,50.0,5.0,84.077
639.7,Second Ratoon,82.0,21.0,6.0,58.6,44.0,0.34,56.0,4.0,82.279
640.3,Second Ratoon,86.0,36.0,8.0,69.4,54.0,0.43,54.0,5.3,87.878
640.2,Second Ratoon,69.5,52.0,10.0,65.5,65.0,0.43,22.0,5.7,90.707
639.8,Second Ratoon,85.5,50.0,8.0,68.6,59.0,0.57,56.0,5.4,91.806
639.3,Second Ratoon,82.0,49.0,11.0,70.8,58.0,0.4,50.0,4.2,93.033
639.3,Second Ratoon,97.5,39.0,9.0,70.8,62.0,0.38,62.0,5.3,94.077
638.6,Second Ratoon,110.0,41.0,10.0,65.0,62.0,0.6,66.0,5.9,95.614
638.5,Second Ratoon,114.5,33.0,16.0,62.0,73.0,0.76,21.0,5.0,92.103
638.3,Second Ratoon,92.0,56.0,19.0,79.9,79.0,0.68,23.0,4.5,93.291
638.5,Second Ratoon,85.5,27.0,8.0,55.6,60.0,0.39,56.0,3.4,95.113
639.2,Second Ratoon,86.5,37.0,10.0,61.4,67.0,0.44,46.0,4.0,95.383
638.1,Second Ratoon,75.0,55.0,10.0,60.4,69.0,0.49,34.0,5.7,96.848
638.4,Second Ratoon,66.0,45.0,13.0,62.6,71.0,0.36,50.0,5.3,99.804
637.7,Second Ratoon,83.5,42.0,10.0,61.8,68.0,0.5,52.0,3.9,93.082
636.7,Second Ratoon,76.0,35.0,10.0,51.8,69.0,0.7,29.0,5.1,99.511
637.2,Second Ratoon,75.0,48.0,11.0,53.7,65.0,0.57,50.0,4.1,97.135
637.1,Second Ratoon,79.0,39.0,11.0,63.7,69.0,0.84,40.0,5.0,87.607
639.3,Second Ratoon,68.5,29.0,12.0,53.8,72.0,0.79,29.0,3.7,93.971
639.8,Second Ratoon,72.5,32.0,11.0,55.6,68.0,0.76,48.0,4.9,93.548
640.3,Second Ratoon,71.5,39.0,10.0,54.4,60.0,0.58,56.0,3.6,93.775
640.3,Second Ratoon,80.5,34.0,11.0,59.7,66.0,0.6,56.0,5.4,96.428
641.7,Second Ratoon,97.0,42.0,9.0,62.6,65.0,0.72,3.0,4.6,98.052
639.6,Second Ratoon,87.0,32.0,10.0,63.5,62.0,0.64,62.0,3.8,89.369
640.3,Second Ratoon,107.0,53.0,10.0,67.9,60.0,0.64,70.0,7.4,94.591
640.8,Second Ratoon,94.5,75.0,7.0,66.6,55.0,0.75,88.0,5.9,91.857
639.7,Second Ratoon,108.0,21.0,10.0,67.6,59.0,0.6,58.0,5.1,89.501
639.0,Second Ratoon,93.0,37.0,19.0,94.3,76.0,0.97,58.0,5.2,81.744
639.7,Second Ratoon,101.5,29.0,8.0,60.7,56.0,0.85,40.0,3.5,91.266
639.1,Second Ratoon,72.0,36.0,8.0,59.6,56.0,0.5,72.0,6.4,87.089
639.4,Second Ratoon,97.0,35.0,8.0,62.6,57.0,0.45,68.0,5.6,87.379
639.1,Second Ratoon,109.5,26.0,9.0,62.9,57.0,0.24,38.0,4.6,89.491
638.7,Second Ratoon,103.0,50.0,12.0,72.6,66.0,0.5,56.0,4.9,86.157
639.3,Second Ratoon,98.0,21.0,7.0,54.4,54.0,0.48,50.0,2.5,86.664
638.8,Second Ratoon,86.0,20.0,9.0,62.5,60.0,0.38,44.0,2.5,81.252
639.7,Second Ratoon,96.5,34.0,5.0,51.7,56.0,0.51,50.0,3.4,79.154
640.3,Second Ratoon,98.5,21.0,6.0,52.7,54.0,0.29,36.0,2.6,77.025
637.7,Second Ratoon,80.0,17.0,13.0,60.6,69.0,0.23,19.0,3.7,86.28
638.0,Second Ratoon,85.0,21.0,8.0,54.4,56.0,0.38,48.0,4.5,97.427
637.0,Second Ratoon,106.5,18.0,9.0,55.7,59.0,0.52,56.0,3.4,112.627
636.2,Second Ratoon,99.5,17.0,8.0,59.4,55.0,0.38,54.0,3.1,92.87
637.5,Second Ratoon,104.0,26.0,5.0,55.7,53.0,0.31,40.0,3.4,99.859
637.5,Second Ratoon,101.0,23.0,10.0,68.8,55.0,0.73,76.0,7.2,101.383
636.9,Second Ratoon,61.0,26.0,8.0,62.6,62.0,0.85,52.0,4.2,96.951
636.6,Second Ratoon,91.0,44.0,9.0,66.7,54.0,0.76,58.0,4.4,94.655
636.1,Second Ratoon,121.5,22.0,8.0,59.8,52.0,0.62,66.0,5.4,94.701
637.0,Second Ratoon,125.0,30.0,8.0,61.3,56.0,0.79,66.0,4.2,110.263
635.8,Second Ratoon,115.0,27.0,8.0,69.0,46.0,0.74,60.0,3.1,100.279
636.0,Second Ratoon,105.5,131.0,11.0,82.3,61.0,0.85,66.0,9.4,99.355
635.2,Second Ratoon,101.0,36.0,12.0,67.1,63.0,0.71,66.0,4.8,99.956
634.7,Second Ratoon,89.0,77.0,15.0,76.8,74.0,1.09,52.0,5.1,108.361
631.0,Second Ratoon,92.0,54.0,16.0,64.8,66.0,0.79,50.0,4.0,106.994
633.0,Second Ratoon,82.0,33.0,9.0,60.8,56.0,0.92,62.0,4.1,104.018
636.5,Second Ratoon,81.0,74.0,15.0,66.7,72.0,1.0,27.0,5.6,100.928
638.7,Second Ratoon,128.5,599.0,24.0,106.4,82.0,0.73,70.0,6.8,97.326
643.0,Second Ratoon,96.5,47.0,11.0,61.2,61.0,0.8,46.0,4.9,100.285
642.5,Second Ratoon,96.5,43.0,11.0,66.7,61.0,0.94,50.0,4.4,101.065
645.0,Second Ratoon,100.0,51.0,15.0,63.0,65.0,0.85,32.0,5.9,101.373
645.6,Second Ratoon,97.5,32.0,9.0,61.8,56.0,0.7,72.0,4.3,100.899
643.5,Second Ratoon,102.5,39.0,9.0,62.7,55.0,0.62,60.0,3.2,101.119
647.3,Second Ratoon,86.0,39.0,8.0,57.9,55.0,0.66,70.0,3.4,99.518
645.7,Second Ratoon,74.5,43.0,10.0,57.5,58.0,0.6,27.0,4.1,95.403
645.9,Second Ratoon,79.5,35.0,12.0,62.6,70.0,0.97,52.0,4.9,103.42
646.0,Second Ratoon,93.0,30.0,9.0,57.8,57.0,0.6,21.0,3.1,101.33
643.3,Second Ratoon,87.0,25.0,10.0,59.6,58.0,0.91,64.0,4.2,97.269
643.0,Second Ratoon,79.5,43.0,16.0,63.8,73.0,0.77,25.0,3.8,89.335
644.0,Second Ratoon,94.0,42.0,15.0,55.2,67.0,0.77,14.0,4.2,97.887
642.9,Second Ratoon,83.5,25.0,9.0,55.7,61.0,0.59,17.0,4.9,93.999
642.1,Second Ratoon,85.5,26.0,5.0,54.6,43.0,0.57,26.0,2.0,93.806
641.3,Second Ratoon,87.5,42.0,6.0,63.8,45.0,0.48,76.0,4.5,94.034
642.8,Second Ratoon,105.5,42.0,8.0,56.8,45.0,0.55,58.0,5.2,98.483
643.0,Second Ratoon,99.0,43.0,12.0,65.0,62.0,0.5,54.0,4.3,100.636
643.5,Second Ratoon,112.0,50.0,12.0,66.0,61.0,0.58,21.0,4.7,96.594
644.4,Second Ratoon,99.5,30.0,11.0,59.8,63.0,0.87,38.0,4.6,78.883
643.2,Second Ratoon,106.5,27.0,8.0,55.7,53.0,0.49,38.0,1.8,91.839
639.3,Second Ratoon,99.5,34.0,10.0,62.0,56.0,0.49,46.0,4.2,75.542
639.2,Second Ratoon,88.5,24.0,12.0,56.8,58.0,0.28,40.0,4.0,94.496
640.0,Second Ratoon,98.5,41.0,14.0,66.1,67.0,0.63,29.0,6.1,88.773
638.0,Second Ratoon,72.5,39.0,9.0,60.8,56.0,0.45,56.0,3.3,97.384
638.0,Second Ratoon,92.5,26.0,7.0,57.2,53.0,0.39,60.0,3.5,98.388
637.0,Second Ratoon,81.5,50.0,8.0,67.3,48.0,0.52,68.0,4.5,93.386
639.3,Second Ratoon,75.0,23.0,9.0,62.1,53.0,0.39,40.0,2.8,92.516
636.0,Second Ratoon,115.0,92.0,12.0,70.9,75.0,0.6,48.0,4.4,57.93
638.0,Second Ratoon,88.5,46.0,10.0,62.1,68.0,0.55,48.0,3.6,72.339
637.0,Second Ratoon,85.0,66.0,11.0,92.1,77.0,0.56,34.0,4.3,52.014
634.0,Second Ratoon,86.5,144.0,12.0,75.9,78.0,0.57,86.0,5.4,76.746
639.3,Third Ratoon,72.0,8.0,5.0,45.7,50.0,0.1,40.0,2.0,37.909
636.5,Third Ratoon,79.0,31.0,10.0,58.8,71.0,0.1,62.0,4.2,45.681
638.9,Third Ratoon,96.5,17.0,11.0,55.7,71.0,0.11,36.0,4.0,47.784
639.2,Third Ratoon,69.0,29.0,12.0,67.0,73.0,0.27,66.0,5.0,52.309
640.2,Third Ratoon,73.0,29.0,15.0,67.9,79.0,0.23,37.0,3.8,45.945
641.3,Third Ratoon,61.5,30.0,12.0,68.3,72.0,0.16,58.0,4.6,46.232
640.5,Third Ratoon,85.5,42.0,12.0,66.4,73.0,0.1,70.0,4.6,38.075
641.3,Third Ratoon,72.0,26.0,14.0,71.6,75.0,0.17,56.0,3.8,55.311
642.3,Third Ratoon,75.0,8.0,11.0,65.5,69.0,0.15,88.0,5.4,57.297
639.4,Third Ratoon,80.0,46.0,11.0,68.7,72.0,0.14,76.0,3.8,56.646
641.6,Third Ratoon,104.0,43.0,14.0,63.8,73.0,0.13,35.0,2.6,61.2
642.8,Third Ratoon,113.5,217.0,14.0,84.2,82.0,0.15,60.0,5.4,60.192
641.3,Third Ratoon,93.0,13.0,9.0,56.8,70.0,0.12,52.0,2.4,57.941
640.2,Third Ratoon,86.0,41.0,9.0,69.1,64.0,0.45,94.0,3.8,67.957
638.2,Third Ratoon,93.0,34.0,11.0,61.2,66.0,0.1,50.0,4.2,49.605
638.2,Third Ratoon,72.5,26.0,10.0,59.1,68.0,0.49,46.0,3.4,51.233
638.2,Third Ratoon,81.0,22.0,11.0,59.7,66.0,0.31,46.0,2.8,54.297
638.1,Third Ratoon,82.5,24.0,8.0,56.7,59.0,0.13,64.0,3.0,54.304
638.2,Third Ratoon,101.5,59.0,8.0,52.8,56.0,0.13,52.0,3.8,52.503
638.7,Third Ratoon,91.0,28.0,10.0,62.4,68.0,0.1,60.0,4.0,55.049
637.2,Third Ratoon,93.0,32.0,8.0,56.6,58.0,0.1,56.0,2.4,46.033
639.3,Third Ratoon,105.0,27.0,13.0,64.7,74.0,0.14,54.0,4.0,51.999
638.0,Third Ratoon,87.5,12.0,8.0,50.2,60.0,0.12,39.0,3.0,52.86
637.5,Third Ratoon,75.5,25.0,12.0,62.7,70.0,0.23,54.0,4.2,54.78
636.5,Third Ratoon,77.5,13.0,8.0,49.1,63.0,0.13,44.0,2.2,52.895
637.4,Third Ratoon,71.5,32.0,9.0,54.8,67.0,0.12,52.0,4.6,58.975
639.3,Third Ratoon,76.5,38.0,9.0,59.6,66.0,0.11,56.0,3.6,46.37
639.7,Third Ratoon,80.0,35.0,9.0,56.8,65.0,0.13,54.0,4.0,48.448
639.7,Third Ratoon,85.5,39.0,13.0,71.8,78.0,0.15,46.0,4.6,50.516
640.5,Third Ratoon,77.0,63.0,8.0,55.7,61.0,0.12,86.0,4.2,51.174
640.7,Third Ratoon,90.5,24.0,8.0,55.7,61.0,0.11,60.0,3.0,54.781
640.5,Third Ratoon,91.0,23.0,11.0,64.9,63.0,0.13,58.0,3.8,51.973
639.7,Third Ratoon,82.0,29.0,7.0,57.9,53.0,0.14,64.0,4.0,42.751
640.3,Third Ratoon,86.0,80.0,8.0,58.5,56.0,0.17,60.0,3.0,40.893
640.2,Third Ratoon,69.5,53.0,13.0,65.5,69.0,0.11,44.0,5.0,42.571
639.8,Third Ratoon,85.5,61.0,8.0,65.7,62.0,0.12,70.0,3.8,38.253
639.3,Third Ratoon,82.0,46.0,9.0,62.2,60.0,0.18,50.0,3.8,37.121
639.3,Third Ratoon,97.5,35.0,9.0,59.0,61.0,0.53,62.0,5.2,38.869
638.6,Third Ratoon,110.0,32.0,12.0,65.5,71.0,0.47,39.0,3.2,49.98
638.5,Third Ratoon,114.5,55.0,15.0,75.3,76.0,0.13,62.0,5.8,52.847
638.3,Third Ratoon,92.0,55.0,8.0,69.7,68.0,0.1,54.0,4.8,44.228
638.5,Third Ratoon,85.5,31.0,8.0,58.7,64.0,0.09,68.0,4.0,52.548
639.2,Third Ratoon,86.5,53.0,10.0,60.9,69.0,0.28,62.0,4.6,42.7
638.1,Third Ratoon,75.0,59.0,11.0,57.6,69.0,0.13,70.0,5.0,51.11
638.4,Third Ratoon,66.0,43.0,11.0,58.5,71.0,0.36,42.0,4.2,51.12
637.7,Third Ratoon,83.5,48.0,10.0,60.9,74.0,0.15,54.0,3.2,40.435
636.7,Third Ratoon,76.0,47.0,14.0,64.8,78.0,0.19,34.0,3.4,41.673
637.2,Third Ratoon,75.0,70.0,12.0,64.9,75.0,0.16,56.0,3.8,43.567
637.1,Third Ratoon,79.0,51.0,11.0,60.6,70.0,0.16,39.0,2.8,51.315
639.3,Third Ratoon,68.5,29.0,15.0,66.0,76.0,0.22,42.0,2.8,83.428
639.8,Third Ratoon,72.5,30.0,14.0,64.9,75.0,0.19,60.0,3.6,73.546
640.3,Third Ratoon,71.5,46.0,10.0,55.5,69.0,0.15,70.0,4.0,71.093
640.3,Third Ratoon,80.5,28.0,16.0,66.7,78.0,0.15,42.0,4.0,70.845
641.7,Third Ratoon,97.0,49.0,15.0,73.8,77.0,0.18,74.0,4.2,63.468
639.6,Third Ratoon,87.0,28.0,10.0,60.0,68.0,0.29,60.0,2.4,63.013
640.3,Third Ratoon,107.0,42.0,8.0,56.3,61.0,0.14,98.0,7.8,63.539
640.8,Third Ratoon,94.5,72.0,7.0,59.2,56.0,0.19,130.0,5.6,64.161
639.7,Third Ratoon,108.0,28.0,13.0,75.5,68.0,0.21,88.0,5.8,62.126
639.0,Third Ratoon,93.0,41.0,12.0,67.7,70.0,0.21,66.0,4.4,63.268
639.7,Third Ratoon,101.5,34.0,10.0,65.2,66.0,0.18,64.0,4.4,67.003
639.1,Third Ratoon,72.0,61.0,11.0,71.7,71.0,0.18,62.0,4.0,72.201
639.4,Third Ratoon,97.0,58.0,10.0,72.9,73.0,0.14,74.0,4.8,70.591
639.1,Third Ratoon,109.5,26.0,9.0,59.5,65.0,0.28,58.0,2.6,67.383
638.7,Third Ratoon,103.0,46.0,10.0,63.0,65.0,0.33,72.0,4.4,72.94
639.3,Third Ratoon,98.0,21.0,7.0,57.7,64.0,0.19,56.0,2.8,66.153
638.8,Third Ratoon,86.0,15.0,6.0,50.7,53.0,0.18,54.0,2.4,71.552
639.7,Third Ratoon,96.5,49.0,10.0,60.6,69.0,0.21,68.0,4.2,75.08
640.3,Third Ratoon,98.5,23.0,7.0,55.7,62.0,0.13,48.0,2.4,76.143
637.7,Third Ratoon,80.0,16.0,12.0,58.4,67.0,0.21,44.0,2.8,61.73
638.0,Third Ratoon,85.0,18.0,10.0,57.7,64.0,0.16,52.0,3.2,64.692
637.0,Third Ratoon,106.5,18.0,8.0,55.6,59.0,0.21,72.0,3.4,64.729
636.2,Third Ratoon,99.5,20.0,7.0,55.6,57.0,0.27,70.0,3.2,64.274
637.5,Third Ratoon,104.0,27.0,7.0,61.4,53.0,0.17,74.0,3.8,75.514
637.5,Third Ratoon,101.0,20.0,6.0,50.7,53.0,0.21,78.0,3.0,67.969
636.9,Third Ratoon,61.0,30.0,11.0,65.6,66.0,0.28,56.0,3.4,66.023
636.6,Third Ratoon,91.0,45.0,7.0,59.1,56.0,0.17,74.0,4.2,66.286
636.1,Third Ratoon,121.5,17.0,6.0,59.6,50.0,0.14,76.0,4.0,69.396
637.0,Third Ratoon,125.0,32.0,9.0,74.4,62.0,0.19,86.0,4.0,60.717
635.8,Third Ratoon,115.0,28.0,7.0,60.9,52.0,0.16,80.0,4.2,57.072
636.0,Third Ratoon,105.5,124.0,7.0,67.9,57.0,0.15,116.0,5.4,63.008
635.2,Third Ratoon,101.0,33.0,10.0,59.5,63.0,0.17,50.0,3.2,71.102
634.7,Third Ratoon,89.0,116.0,20.0,88.2,81.0,0.22,60.0,5.2,62.627
631.0,Third Ratoon,92.0,55.0,14.0,70.6,75.0,0.17,54.0,4.0,74.302
633.0,Third Ratoon,82.0,52.0,9.0,65.8,70.0,0.32,80.0,4.4,67.57
636.5,Third Ratoon,81.0,128.0,13.0,71.8,75.0,0.26,1.0,4.4,56.695
638.7,Third Ratoon,128.5,469.0,24.0,109.7,86.0,0.23,78.0,6.0,72.921
643.0,Third Ratoon,96.5,50.0,14.0,73.7,77.0,0.16,54.0,3.6,67.068
642.5,Third Ratoon,96.5,78.0,9.0,65.7,65.0,0.16,74.0,4.0,56.242
645.0,Third Ratoon,100.0,50.0,13.0,74.6,72.0,0.29,110.0,4.0,62.78
645.6,Third Ratoon,97.5,76.0,8.0,70.7,66.0,0.22,48.0,7.6,68.143
643.5,Third Ratoon,102.5,32.0,8.0,66.0,55.0,0.18,70.0,2.0,66.699
647.3,Third Ratoon,86.0,31.0,8.0,63.8,62.0,0.21,70.0,3.0,65.777
645.7,Third Ratoon,74.5,37.0,9.0,62.6,63.0,0.17,56.0,3.4,74.929
645.9,Third Ratoon,79.5,25.0,9.0,60.0,62.0,0.19,66.0,4.4,64.749
646.0,Third Ratoon,93.0,38.0,11.0,67.7,68.0,0.28,56.0,2.8,76.537
643.3,Third Ratoon,87.0,61.0,12.0,82.4,68.0,0.26,84.0,6.4,65.453
643.0,Third Ratoon,79.5,71.0,21.0,87.6,83.0,0.23,31.0,4.6,81.702
644.0,Third Ratoon,94.0,51.0,13.0,75.9,72.0,0.42,54.0,3.2,74.288
642.9,Third Ratoon,83.5,33.0,9.0,68.7,67.0,0.41,72.0,4.2,69.12
642.1,Third Ratoon,85.5,33.0,6.0,54.8,58.0,0.18,104.0,4.2,69.41
641.3,Third Ratoon,87.5,41.0,8.0,71.7,61.0,0.22,102.0,4.6,59.023
642.8,Third Ratoon,105.5,52.0,9.0,73.6,66.0,0.22,64.0,3.8,66.092
643.0,Third Ratoon,99.0,32.0,16.0,80.9,74.0,0.2,64.0,4.0,63.286
643.5,Third Ratoon,112.0,81.0,17.0,88.9,75.0,0.32,84.0,7.0,62.668
644.4,Third Ratoon,99.5,52.0,14.0,78.9,72.0,0.21,64.0,3.4,58.127
643.2,Third Ratoon,106.5,39.0,11.0,77.4,68.0,0.18,78.0,2.8,56.513
639.3,Third Ratoon,99.5,62.0,13.0,78.9,67.0,0.24,70.0,4.6,73.077
639.2,Third Ratoon,88.5,57.0,11.0,73.7,65.0,0.23,90.0,4.0,70.068
640.0,Third Ratoon,98.5,70.0,16.0,89.0,78.0,0.27,64.0,5.4,73.184
638.0,Third Ratoon,72.5,58.0,10.0,72.7,64.0,0.17,78.0,3.2,73.629
638.0,Third Ratoon,92.5,56.0,8.0,61.6,63.0,0.17,60.0,3.0,75.643
637.0,Third Ratoon,81.5,44.0,7.0,63.7,56.0,0.23,28.0,4.4,72.872
639.3,Third Ratoon,75.0,42.0,6.0,57.6,51.0,0.19,56.0,2.2,84.553
636.0,Third Ratoon,115.0,62.0,11.0,66.6,70.0,0.22,18.0,3.0,80.377
638.0,Third Ratoon,88.5,155.0,11.0,76.0,74.0,0.17,32.0,5.0,63.457
637.0,Third Ratoon,85.0,119.0,13.0,84.3,76.0,0.32,76.0,4.0,78.154
634.0,Third Ratoon,86.5,75.0,9.0,72.8,68.0,0.21,64.0,3.0,66.514
