Elevation (m),Season,Silt,P,Mg,CEC,BS,B,Fe,Mn,Yield
587.727,Plant,142.5,9.0,11.0,76.0,67.0,0.1,25.0,21.5,102.093
588.08,Plant,141.5,11.0,11.0,75.1,63.0,0.14,22.0,19.5,112.062
588.162,Plant,126.0,10.0,9.0,66.2,62.0,0.1,20.0,15.4,108.265
588.346,Plant,106.0,21.0,9.0,79.1,65.0,0.18,19.0,20.4,109.931
588.438,Plant,72.0,7.0,6.0,60.2,54.0,0.08,19.0,22.6,109.138
588.85,Plant,113.0,7.0,6.0,60.2,49.0,0.15,21.0,19.9,100.57
589.133,Plant,121.0,8.0,9.0,76.1,64.0,0.12,20.0,24.1,98.333
589.322,Plant,133.0,11.0,9.0,79.3,65.0,0.1,20.0,29.1,104.75
589.332,Plant,128.0,7.0,19.0,168.1,82.0,0.15,22.0,32.7,107.062
589.134,Plant,142.0,12.0,10.0,79.5,57.0,0.15,25.0,34.4,111.338
588.921,Plant,139.5,15.0,14.0,87.8,72.0,0.12,19.0,24.8,104.7
588.315,Plant,119.5,7.0,9.0,71.8,61.0,0.12,19.0,24.8,104.428
589.757,Plant,100.5,8.0,7.0,60.0,58.0,0.16,16.0,5.4,108.482
589.958,Plant,101.5,14.0,10.0,62.9,68.0,0.12,13.0,12.9,108.538
590.513,Plant,115.5,8.0,9.0,66.9,70.0,0.11,19.0,16.3,106.639
591.109,Plant,103.0,9.0,7.0,66.1,48.0,0.16,21.0,16.5,104.433
591.583,Plant,113.5,9.0,8.0,58.7,57.0,0.13,20.0,14.8,93.471
592.017,Plant,114.0,5.0,7.0,57.4,52.0,0.13,18.0,18.3,100.025
592.309,Plant,126.5,6.0,8.0,65.2,57.0,0.16,19.0,14.8,93.981
592.563,Plant,127.5,8.0,9.0,69.2,60.0,0.13,7.0,6.6,94.741
592.731,Plant,115.5,6.0,10.0,71.5,65.0,0.11,20.0,25.1,95.466
592.822,Plant,106.0,7.0,10.0,70.6,65.0,0.18,20.0,24.8,103.151
592.885,Plant,124.5,7.0,8.0,64.4,61.0,0.11,21.0,26.6,100.853
593.262,Plant,109.5,8.0,7.0,62.3,51.0,0.12,22.0,17.1,105.071
593.649,Plant,114.5,5.0,5.0,54.3,43.0,0.11,26.0,13.8,102.08
593.844,Plant,120.0,8.0,5.0,54.8,44.0,0.12,20.0,20.8,104.243
593.759,Plant,117.5,8.0,6.0,56.9,46.0,0.12,25.0,26.4,101.667
593.471,Plant,117.5,8.0,7.0,55.3,59.0,0.13,18.0,32.5,101.961
593.058,Plant,127.5,7.0,6.0,51.7,46.0,0.13,24.0,21.5,100.714
592.439,Plant,99.5,7.0,8.0,63.7,56.0,0.12,21.0,29.3,98.012
591.112,Plant,115.5,8.0,7.0,57.8,61.0,0.13,20.0,23.9,115.785
594.679,Plant,78.5,6.0,4.0,70.9,68.0,0.15,16.0,15.5,122.019
595.44,Plant,90.5,8.0,5.0,55.0,50.0,0.15,21.0,23.1,139.713
595.257,Plant,127.5,10.0,9.0,70.9,68.0,0.16,31.0,28.7,106.689
595.77,Plant,124.0,7.0,6.0,63.8,52.0,0.17,21.0,21.3,101.339
595.311,Plant,120.0,24.0,5.0,52.4,52.0,0.09,20.0,27.3,121.1
568.364,First Ratoon,85.0,10.0,6.0,52.4,54.0,0.25,14.0,9.4,78.189
569.248,First Ratoon,96.0,10.0,2.0,38.9,41.0,0.15,8.0,7.8,66.712
570.391,First Ratoon,101.5,12.0,3.0,53.6,42.0,0.22,11.0,9.2,75.892
569.427,First Ratoon,113.5,7.0,3.0,42.3,31.0,0.18,16.0,5.6,79.138
570.934,First Ratoon,125.0,12.0,3.0,53.6,42.0,0.22,11.0,9.2,84.4
570.126,First Ratoon,121.0,24.0,4.0,56.5,45.0,0.22,17.0,8.8,75.528
568.397,First Ratoon,76.0,20.0,4.0,70.9,55.0,0.3,27.0,8.4,83.043
570.782,First Ratoon,82.0,9.0,2.0,54.0,37.0,0.27,12.0,11.4,73.23
569.328,First Ratoon,105.5,9.0,4.0,51.5,44.0,0.12,10.0,24.0,85.724
570.963,First Ratoon,97.0,10.0,5.0,55.4,42.0,0.16,12.0,12.2,83.023
