PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
F09,236685.828,7645011.993,582.757,10.107,PeM,Plant,517.000,380.000,103.000,29.000,5.300,9.000,1.900,25.000,7.000,28.000,33.400,61.200,55.000,1.000,0.120,4.200,22.000,14.500,112.110
F10,236693.765,7645061.358,583.397,8.310,PeM,Plant,513.000,369.000,118.000,23.000,5.500,7.000,1.900,25.000,8.000,20.000,33.900,54.100,63.000,7.000,0.120,3.300,15.000,9.900,110.980
F11,236701.702,7645110.724,583.403,11.705,PeM,Plant,477.500,404.000,118.500,29.000,5.300,7.000,1.800,25.000,7.000,28.000,34.600,62.300,55.000,1.000,0.120,4.200,22.000,19.800,112.732
F12,236709.639,7645160.090,583.500,6.090,PeM,Plant,471.500,426.000,102.500,37.000,5.200,10.000,2.300,32.000,9.000,31.000,43.400,74.200,58.000,4.000,0.170,4.100,28.000,28.800,114.242
F13,236717.576,7645209.456,583.726,11.160,PeM,Plant,469.000,448.000,83.000,29.000,5.400,8.000,1.100,21.000,6.000,22.000,27.800,50.200,55.000,3.000,0.050,2.600,16.000,13.800,117.198
F14,236725.513,7645258.822,584.373,16.207,PeM,Plant,445.500,479.000,75.500,31.000,5.100,11.000,0.700,27.000,7.000,31.000,34.300,65.100,53.000,5.000,0.140,4.000,27.000,22.600,117.285
F15,236733.451,7645308.188,584.851,13.441,PeM,Plant,452.000,456.000,92.000,25.000,5.100,10.000,1.100,22.000,6.000,28.000,28.800,56.600,51.000,3.000,0.110,4.200,25.000,22.100,113.859
F16,236741.388,7645357.554,584.875,3.316,PeM,Plant,460.500,432.000,107.500,29.000,5.200,10.000,2.100,25.000,8.000,31.000,34.400,65.300,53.000,3.000,0.120,4.600,23.000,26.000,113.791
F17,236749.325,7645406.920,584.813,7.279,PeM,Plant,479.000,405.000,116.000,27.000,4.900,9.000,0.500,16.000,4.000,34.000,21.000,55.200,38.000,8.000,0.120,5.900,23.000,20.700,117.350
F18,236757.262,7645456.286,584.903,6.968,PeM,Plant,499.000,375.000,126.000,25.000,4.800,10.000,1.300,14.000,5.000,34.000,20.300,54.600,37.000,15.000,0.140,4.900,26.000,23.000,112.722
F19,236765.199,7645505.652,584.749,12.626,PeM,Plant,492.500,400.000,107.500,24.000,4.900,11.000,1.300,23.000,6.000,34.000,29.900,64.100,47.000,12.000,0.100,4.600,25.000,15.400,111.033
F20,236773.136,7645555.018,583.832,11.919,PeM,Plant,473.500,413.000,113.500,27.000,5.200,12.000,1.000,26.000,6.000,28.000,33.600,61.400,55.000,2.000,0.090,5.000,23.000,21.600,120.235
G02,236679.634,7644658.494,585.960,9.740,PeM,Plant,438.000,499.000,63.000,29.000,5.000,7.000,1.300,23.000,6.000,28.000,30.100,57.800,52.000,5.000,0.150,3.000,18.000,12.200,110.036
G03,236687.572,7644707.860,585.494,13.423,PeM,Plant,468.000,451.000,81.000,25.000,5.400,10.000,3.500,22.000,6.000,22.000,31.000,53.500,58.000,18.000,0.120,2.600,14.000,9.600,110.249
G04,236695.509,7644757.226,585.194,11.792,PeM,Plant,472.500,451.000,76.500,24.000,5.000,22.000,3.400,18.000,4.000,28.000,25.400,53.100,48.000,12.000,0.170,3.700,19.000,11.400,106.577
G05,236703.446,7644806.592,585.610,10.939,PeM,Plant,441.000,481.000,78.000,27.000,5.100,13.000,2.800,24.000,7.000,28.000,33.200,60.900,54.000,12.000,0.130,4.000,28.000,17.700,108.265
G06,236711.383,7644855.958,585.984,10.638,PeM,Plant,468.813,432.000,99.188,31.000,5.100,14.000,2.700,28.000,9.000,28.000,38.900,66.600,58.000,1.000,0.170,3.600,19.000,13.400,104.792
G07,236719.320,7644905.324,586.707,6.083,PeM,Plant,493.500,408.000,98.500,32.000,5.400,10.000,1.800,37.000,10.000,28.000,48.700,76.500,64.000,1.000,0.120,4.000,18.000,17.500,102.521
G08,236727.257,7644954.690,587.338,9.757,PeM,Plant,476.500,413.000,110.500,28.000,5.000,8.000,0.900,21.000,3.000,31.000,25.100,55.900,45.000,20.000,0.170,4.600,21.000,13.900,104.007
G09,236735.194,7645004.055,587.727,11.665,PeM,Plant,459.500,398.000,142.500,36.000,5.700,9.000,1.700,38.000,11.000,25.000,51.000,76.000,67.000,1.000,0.100,4.600,25.000,21.500,102.093
G10,236743.131,7645053.421,588.080,9.446,PeM,Plant,456.500,402.000,141.500,34.000,5.500,11.000,0.700,36.000,11.000,28.000,47.300,75.100,63.000,1.000,0.140,4.700,22.000,19.500,112.062
G11,236751.068,7645102.787,588.162,10.241,PeM,Plant,469.000,405.000,126.000,26.000,5.500,10.000,1.000,31.000,9.000,25.000,41.200,66.200,62.000,1.000,0.100,4.300,20.000,15.400,108.265
G12,236759.005,7645152.153,588.346,10.343,PeM,Plant,463.125,430.875,106.000,35.000,5.300,21.000,1.100,41.000,9.000,28.000,51.400,79.100,65.000,1.000,0.180,3.700,19.000,20.400,109.931
G13,236766.942,7645201.519,588.438,7.322,PeM,Plant,420.000,508.000,72.000,27.000,5.300,7.000,0.300,26.000,6.000,28.000,32.500,60.200,54.000,1.000,0.080,3.900,19.000,22.600,109.138
G14,236774.879,7645250.885,588.850,8.989,PeM,Plant,428.000,459.000,113.000,29.000,5.100,7.000,1.100,22.000,6.000,31.000,29.300,60.200,49.000,8.000,0.150,4.000,21.000,19.900,100.570
G15,236782.816,7645300.251,589.133,7.982,PeM,Plant,403.000,476.000,121.000,30.000,5.300,8.000,1.800,37.000,9.000,28.000,48.300,76.100,64.000,2.000,0.120,4.300,20.000,24.100,98.333
G16,236790.754,7645349.617,589.322,10.534,PeM,Plant,404.000,463.000,133.000,33.000,5.500,11.000,1.900,40.000,9.000,28.000,51.500,79.300,65.000,1.000,0.100,5.500,20.000,29.100,104.750
G17,236798.691,7645398.983,589.332,11.842,PeM,Plant,427.000,445.000,128.000,31.000,5.300,7.000,2.200,116.000,19.000,31.000,137.300,168.100,82.000,13.000,0.150,7.100,22.000,32.700,107.062
G18,236806.628,7645448.349,589.134,8.924,PeM,Plant,444.000,414.000,142.000,35.000,5.200,12.000,2.900,33.000,10.000,34.000,45.200,79.500,57.000,4.000,0.150,6.500,25.000,34.400,111.338
G19,236814.565,7645497.715,588.921,7.581,PeM,Plant,440.500,420.000,139.500,34.000,5.600,15.000,2.500,46.000,14.000,25.000,62.800,87.800,72.000,1.000,0.120,5.100,19.000,24.800,104.700
G20,236822.502,7645547.080,588.315,12.077,PeM,Plant,430.500,450.000,119.500,30.000,5.400,7.000,1.300,34.000,9.000,28.000,44.000,71.800,61.000,1.000,0.120,5.400,19.000,24.800,104.428
H03,236736.937,7644699.923,589.757,2.368,PeM,Plant,466.500,433.000,100.500,26.000,5.600,8.000,1.500,27.000,7.000,25.000,35.000,60.000,58.000,7.000,0.160,2.500,16.000,5.400,108.482
H04,236744.875,7644749.289,589.958,1.843,PeM,Plant,453.500,445.000,101.500,24.000,5.800,14.000,3.300,30.000,10.000,20.000,42.700,62.900,68.000,2.000,0.120,2.700,13.000,12.900,108.538
H05,236752.812,7644798.655,590.513,12.846,PeM,Plant,429.500,455.000,115.500,28.000,5.800,8.000,3.500,34.000,9.000,20.000,46.700,66.900,70.000,4.000,0.110,3.300,19.000,16.300,106.639
H06,236760.749,7644848.021,591.109,12.270,PeM,Plant,453.000,444.000,103.000,27.000,5.000,9.000,2.000,23.000,7.000,34.000,31.800,66.100,48.000,8.000,0.160,4.600,21.000,16.500,104.433
H07,236768.686,7644897.387,591.583,9.148,PeM,Plant,474.500,412.000,113.500,28.000,5.000,9.000,1.200,25.000,8.000,25.000,33.700,58.700,57.000,1.000,0.130,4.300,20.000,14.800,93.471
H08,236776.623,7644946.752,592.017,9.919,PeM,Plant,489.000,397.000,114.000,27.000,5.200,5.000,1.200,21.000,7.000,28.000,29.700,57.400,52.000,1.000,0.130,5.300,18.000,18.300,100.025
H09,236784.560,7644996.118,592.309,8.084,PeM,Plant,508.500,365.000,126.500,27.000,5.100,6.000,5.000,24.000,8.000,28.000,37.400,65.200,57.000,14.000,0.160,4.600,19.000,14.800,93.981
H10,236792.497,7645045.484,592.563,8.578,PeM,Plant,493.500,379.000,127.500,27.000,5.300,8.000,1.600,30.000,9.000,28.000,41.500,69.200,60.000,1.000,0.130,1.600,7.000,6.600,94.741
H11,236800.434,7645094.850,592.731,8.617,PeM,Plant,476.500,408.000,115.500,28.000,5.500,6.000,2.000,34.000,10.000,25.000,46.500,71.500,65.000,1.000,0.110,5.800,20.000,25.100,95.466
H12,236808.371,7645144.216,592.822,9.983,PeM,Plant,472.000,422.000,106.000,27.000,5.500,7.000,2.400,34.000,10.000,25.000,45.700,70.600,65.000,1.000,0.180,5.200,20.000,24.800,103.151
H13,236816.308,7645193.582,592.885,7.634,PeM,Plant,449.500,426.000,124.500,26.000,5.400,7.000,2.700,29.000,8.000,25.000,39.400,64.400,61.000,3.000,0.110,5.100,21.000,26.600,100.853
H14,236824.245,7645242.948,593.262,8.978,PeM,Plant,444.500,446.000,109.500,30.000,5.200,8.000,1.900,23.000,7.000,31.000,31.500,62.300,51.000,0.300,0.120,4.000,22.000,17.100,105.071
H15,236832.182,7645292.314,593.649,8.288,PeM,Plant,451.500,434.000,114.500,27.000,5.000,5.000,0.800,18.000,5.000,31.000,23.400,54.300,43.000,0.300,0.110,4.800,26.000,13.800,102.080
H16,236840.119,7645341.680,593.844,9.400,PeM,Plant,447.000,433.000,120.000,27.000,5.200,8.000,1.800,18.000,5.000,31.000,24.000,54.800,44.000,0.600,0.120,5.900,20.000,20.800,104.243
H17,236848.057,7645391.046,593.759,8.156,PeM,Plant,442.500,440.000,117.500,27.000,5.200,8.000,1.800,19.000,6.000,31.000,26.000,56.900,46.000,0.200,0.120,7.000,25.000,26.400,101.667
